title,agency,category,link
"전기차 생각만큼 안 팔려도… 현대차 ""美 조지아 공장 문제없다""",데일리안,경제,https://v.daum.net/v/20240828200914773
"버크셔해서웨이, 시가총액 1조달러 클럽 도전",한국경제,경제,https://v.daum.net/v/20240828200910772
29일 오전 6시…엔비디아發 `태풍`이 온다,디지털타임스,경제,https://v.daum.net/v/20240828200232564
"애플·구글의 앱마켓 독점 견제가 기회...원스토어 ""지역 맞춤형 전략으로 해외 간다""",한국일보,경제,https://v.daum.net/v/20240828200231561
[여기는 전남] 순천 시내버스 노선 개편…중복노선 줄이고 읍면 지선 체계,KBS,경제,https://v.daum.net/v/20240828200049520
멸종위기 바다거북 9마리 바다로,채널A,경제,https://v.daum.net/v/20240828200016509
美 대선까지 호재도 악재도 없다… 동력 잃은 비트코인,디지털타임스,경제,https://v.daum.net/v/20240828195939491
사공 많은 밸류업·힘 못쓰는 코스피… 개미·외인 `외면`,디지털타임스,경제,https://v.daum.net/v/20240828195937490
"요기요, 창사 13년 만에 희망퇴직",한국경제,경제,https://v.daum.net/v/20240828195901480
[간추린 경남] 고수온 어업피해 35만 마리 늘어…누적 297억 원 외,KBS,경제,https://v.daum.net/v/20240828195815459
'회사 때려치는 20대'는 글로벌 현상?…사표낸 뒤 선택지는 '유튜버',한경비즈니스,경제,https://v.daum.net/v/20240828195401349
5천억 대 폐구리 밀수출 업체 무더기 적발,KBS,경제,https://v.daum.net/v/20240828195252325
"[여기는 포항] 포항시, 문덕리 33만㎡ 도시개발구역 지정 외",KBS,경제,https://v.daum.net/v/20240828195204314
영풍 석포제련소 대표 중대재해처벌법 구속 갈림길…환경법 위반 확정 땐 4천억 손해 예상,MBN,경제,https://v.daum.net/v/20240828195154307
20년 의무임대 10년간 10만 가구 공급(종합),국제신문,경제,https://v.daum.net/v/20240828195136299
금양 주가 52주 신저가 경신…8000억 유상증자설에 ‘추락’,국제신문,경제,https://v.daum.net/v/20240828195134298
[비즈카페] 부산시금고 유치전 뛰어든 기업銀…국책은행이 왜?,국제신문,경제,https://v.daum.net/v/20240828195129295
"은행권 2분기 부실채권, 전분기보다 1조원 급증",국제신문,경제,https://v.daum.net/v/20240828195129293
